OpportunityServiceLine,ClientSector,AccountName,ProspectClientName,OpportunityName,Stage,ProbaOfWin,EffectiveOpenDate,AnticipatedWinDate,EffectiveCloseDate,OpportunityPartnerName,PursuitLeaderName,ManagedByName,PursuitTeamName,IdentifiedByName,PACEStatus,RelatedEngagements,Currency,TotalValueOfPotentialSale,TotalValueTND,OpportunitySubSL,OriginalOpportunityID,OpportunityID,MS,SSL1,Country,Region
tax,startup,Hill Group/Michael Burke MD,Hill Group/Michael Burke MD,Future-proofed mission-critical Internet solution,Declined,100,2023-04-29,2021-07-04,,Jaime Pearson,Nicholas Thomas,Nichole Aguilar%,Brittany Mejia,Dr. John Franklin,,,USD,95.47293765472132,95.47293765472132,tax,E66339224,E66339224-34,Private,PAS,Pakistan,Asie
tax,Wealth & Asset Management,Marquez Inc/Ashley Thomas,Marquez Inc/Ashley Thomas,Programmable 3rdgeneration definition,Qualify,40,2023-06-08,2023-06-02,,Chase Cardenas,Mrs. Susan Salas,Justin Fox%,Lynn Fleming,Allison Salazar,,,USD,73.78209777962682,73.78209777962682,tax,E66154767,E66154767-35,FS,PAS,Égypte,Afrique
tax,Health,"Murphy, Molina and Navarro/Benjamin Smith","Murphy, Molina and Navarro/Benjamin Smith",Synergistic radical core,Declined,5,2022-11-18,2022-03-03,,Dawn Fox,Carlos Lopez,Lisa Graham%,Kara Campbell,Justin Howe,,,EUR,58.75464285153695,58.75464285153695,tax,E63081141,E63081141-36,GPS,BTS,Allemagne,Europe
assurance,Insurance,Harvey LLC/Courtney White,Harvey LLC/Courtney White,Face-to-face object-oriented monitoring,Pursue,50,2023-12-05,2021-10-25,,Linda Vasquez,Connor Herrera,James Green%,John Salinas,Kyle Davis,,,USD,83.71420873646923,83.71420873646923,assurance,E69676756,E69676756-37,FS,FAAS,Koweït,Asie
assurance,Media & Entertainment,Shaw Inc/Stephen Lopez,Shaw Inc/Stephen Lopez,Open-architected client-driven support,Lost,100,2021-01-24,2023-11-09,,Lauren Baxter,Ashley Scott,Lawrence Ramirez%,Jason Washington,John Smith,,,USD,51.424485262464785,51.424485262464785,assurance,E63736884,E63736884-38,TMT,Finance,Égypte,Afrique
assurance,Wealth & Asset Management,"Mccann, Holmes and Mills/Kimberly Willis","Mccann, Holmes and Mills/Kimberly Willis",Operative attitude-oriented project,Identify,15,2023-05-30,2023-06-19,,Kathleen Krause,Michele Davis,Troy Figueroa%,Kristi Elliott,Robert Carter,,,USD,66.47002607530752,66.47002607530752,assurance,E64270207,E64270207-39,FS,Finance,Égypte,Afrique
assurance,Banking & Capital Markets,Wall PLC/Maria Richardson,Wall PLC/Maria Richardson,Profit-focused zero-defect hardware,Lost,5,2022-04-19,2022-09-15,,Nicole Thompson,Natasha White,Michael Chang%,Frank Duke,Henry Johnson,,,USD,60.275258735260756,60.275258735260756,assurance,E64726635,E64726635-40,FS,Audit & Governance,Bénin,Afrique
sat,startup,Graham PLC/Joshua French,Graham PLC/Joshua French,Distributed empowering info-mediaries,Identify,10,2021-10-16,2023-01-24,,Luis Price,Nathan Riddle,Kathryn Beard%,Sandra Cain,Austin Nichols,,,USD,65.1380333993103,65.1380333993103,sat,E66078579,E66078579-41,Private,Transactions & Corporate Finance,Togo,Afrique
consulting,Health,Hart LLC/Michael Green,Hart LLC/Michael Green,Configurable fault-tolerant instruction set,Lost,5,2023-03-30,2021-12-10,,Dr. Shannon Price,Robert Taylor,Daniel Sanford%,Christine Brown,Aaron Swanson,,,USD,81.03805635075283,81.03805635075283,consulting,E68217426,E68217426-42,GPS,Supply Chain & Operations,Lesotho,Afrique
sat,startup,"Vega, Bowers and Escobar/Hunter Smith","Vega, Bowers and Escobar/Hunter Smith",Multi-layered regional help-desk,Identify,20,2021-01-31,2021-03-16,,Debra Perez,Lindsey Chung,Mrs. Angela Morales%,Juan Tucker,Jeremy Nelson,,,USD,51.82120622796427,51.82120622796427,sat,E61555961,E61555961-43,Private,Transactions & Corporate Finance,Koweït,Asie
consulting,Infrastructure,Wallace-Baker/Steven Tran,Wallace-Baker/Steven Tran,Virtual foreground instruction set,Identify,10,2022-03-31,2021-07-14,,Christine Arnold,Kari Brown,Traci Garcia%,Sarah Hill,Matthew Flores,,,EUR,87.92027452436908,87.92027452436908,consulting,E67152087,E67152087-44,GPS,Compliance and Resilience,Belgique,Europe
tax,startup,Gordon-Perez/Eric Jones,Gordon-Perez/Eric Jones,Realigned multimedia database,Pursue,55,2022-06-25,2021-11-28,,Brittney Clay,Dorothy Ellis,Lisa Grant%,Daniel Schultz,Isaiah Pearson,,,USD,57.56616067134204,57.56616067134204,tax,E61703074,E61703074-45,Private,International Tax Transaction Services,Djibouti,Afrique
tax,Wealth & Asset Management,Lewis-Jackson/Gregory Morris,Lewis-Jackson/Gregory Morris,Multi-layered content-based emulation,Qualify,30,2023-11-27,2023-09-08,,Adam Donaldson,Emily Cook,Stacy Elliott%,Keith Fowler,Jennifer Lopez,,,USD,55.108424725958486,55.108424725958486,tax,E63895102,E63895102-46,FS,BTS,Liban,Asie
sat,Media & Entertainment,Ball-Moore/David Holland,Ball-Moore/David Holland,Function-based attitude-oriented challenge,Identify,20,2021-08-06,2023-05-08,,Joyce Maldonado,Monica Adams,Jennifer Martinez%,Matthew Gould,Allison Rollins,,,USD,63.56266786076699,63.56266786076699,sat,E63149721,E63149721-47,TMT,Transactions & Corporate Finance,Guinée,Afrique
assurance,Health,Willis PLC/Andrew Lowe,Willis PLC/Andrew Lowe,Advanced system-worthy protocol,Lost,5,2023-05-13,2022-02-23,,Thomas Allen,Mark Mason,Cheryl Herrera%,Kristen Phillips,Samantha Wright,,,USD,55.73963033957959,55.73963033957959,assurance,E66690602,E66690602-48,GPS,Finance,Jordanie,Asie
assurance,Insurance,Thomas PLC/Dawn Ramirez,Thomas PLC/Dawn Ramirez,Multi-lateral eco-centric model,Identify,10,2023-10-17,2023-01-29,,Brian Acosta,Michael Morris,Stacy Wright%,William Sullivan,Eddie Martin,,,EUR,91.12666023898281,91.12666023898281,assurance,E69715097,E69715097-49,FS,CCaSS,Luxembourg,Europe
sat,Infrastructure,Tran-Alvarado/Brian Santana,Tran-Alvarado/Brian Santana,Organic motivating core,Lost,100,2022-05-05,2021-06-19,,Scott Hoffman,Cameron Jackson,Brian Collins%,Richard Williams Jr.,Shane Soto,,,EUR,68.50875584039508,68.50875584039508,sat,E67630399,E67630399-50,GPS,Transactions & Corporate Finance,Danemark,Europe
assurance,Telecommunications,Farrell and Sons/Andrea Fox,Farrell and Sons/Andrea Fox,Fully-configurable logistical installation,Pursue,40,2022-03-18,2023-02-28,,Steven Sullivan,Jesse Santos MD,Michael Murphy%,Brittney Jones,Javier George,,,USD,92.82798428066263,92.82798428066263,assurance,E65715167,E65715167-51,TMT,CCaSS,Gabon,Afrique
sat,Insurance,"Fisher, Dunn and Glenn/Joseph Cole","Fisher, Dunn and Glenn/Joseph Cole",Switchable maximized neural-net,Won,5,2021-09-03,2023-10-04,2022-03-19 00:00:00,Melanie Taylor,Michelle Baldwin,April Larson%,Taylor Phillips,Taylor Roth,approved,,USD,78.67508911874535,78.67508911874535,sat,E67780433,E67780433-52,FS,Transactions & Corporate Finance,Côte d’Ivoire,Afrique
tax,Technology,Roach-Wade/Mary Saunders,Roach-Wade/Mary Saunders,Polarized holistic process improvement,Won,5,2021-11-27,2021-07-24,2022-07-08 00:00:00,Debbie Cunningham,Darren Valdez,Donald Reyes%,Johnny Jenkins,James Lee,approved,,USD,90.07674676141154,90.07674676141154,tax,E66302739,E66302739-53,TMT,Indirect,Côte d’Ivoire,Afrique
sat,Telecommunications,White-Allen/Jessica Mitchell,White-Allen/Jessica Mitchell,Compatible asymmetric strategy,Won,5,2023-02-12,2023-12-14,2023-05-25 00:00:00,Suzanne Ramirez,Karen Lee,James Marsh%,George Yang,Kelly Nelson,approved,,USD,76.76613260711065,76.76613260711065,sat,E69416747,E69416747-54,TMT,EY-P,Burkina Faso,Afrique
assurance,Infrastructure,Hurst Ltd/Sara Kerr,Hurst Ltd/Sara Kerr,Innovative web-enabled complexity,Won,20,2022-06-02,2023-02-03,2022-07-08 00:00:00,Sheri Spence,Derrick Garcia,Jacob Horn%,Pamela Jacobs,Clarence Lewis,approved,,USD,70.62127541154177,70.62127541154177,assurance,E68541068,E68541068-55,GPS,Other Assurance,Maroc,Afrique
sat,startup,Burton-Allen/Charles Thomas,Burton-Allen/Charles Thomas,Object-based mobile encryption,Qualify,30,2023-02-11,2021-08-27,,Kenneth Buckley,John Zavala,Jesse Holmes%,Thomas Warner,Ricky Lowe,,,USD,82.31636299798788,82.31636299798788,sat,E64231926,E64231926-56,Private,Transactions & Corporate Finance,Togo,Afrique
sat,Technology,Turner Inc/Amy Howard,Turner Inc/Amy Howard,Compatible needs-based database,Closing,100,2023-06-14,2021-10-25,,Kevin Allen,Kristina Reid,Christina Perez%,Stacey Simpson,Lauren Trevino,,,USD,54.53676942687761,54.53676942687761,sat,E68861616,E68861616-57,TMT,Transactions & Corporate Finance,Égypte,Afrique
tax,Telecommunications,Frank Inc/Heather Abbott,Frank Inc/Heather Abbott,Ameliorated demand-driven function,Qualify,25,2022-04-24,2022-09-12,,Natalie Munoz,Summer Green,Katherine Cooper%,Alexis Taylor,Meghan Gross,,,USD,56.83865331477549,56.83865331477549,tax,E66116636,E66116636-58,TMT,PAS,Maroc,Afrique
consulting,startup,Craig Ltd/Jennifer Williams,Craig Ltd/Jennifer Williams,Fundamental modular toolset,Closing,75,2022-02-11,2023-11-14,,Travis Jones,Zachary Klein,Sarah Rogers%,Angela Rodriguez,Melissa Obrien,,,USD,50.76956920732666,50.76956920732666,consulting,E61830752,E61830752-59,Private,Cybersecurity,Madagascar,Afrique
tax,Banking & Capital Markets,Waters Group/Monica Smith,Waters Group/Monica Smith,Universal optimizing definition,Qualify,45,2022-09-29,2023-05-12,,Cindy Solis,Patricia Delacruz,Jack Peterson%,Sonya Hoffman,Lisa Campbell,,,USD,62.108100217925866,62.108100217925866,tax,E64336529,E64336529-60,FS,International Tax Transaction Services,Égypte,Afrique
consulting,Media & Entertainment,Aguirre Inc/Allison Zuniga,Aguirre Inc/Allison Zuniga,Intuitive intangible throughput,Won,100,2021-09-28,2023-11-25,2021-06-11 00:00:00,Rebecca Clark,Roger Clark,Andrew Ford%,Amy Harrison,Margaret Morgan,approved,,USD,88.71865958735114,88.71865958735114,consulting,E66750973,E66750973-61,TMT,Technology Assurance,Mali,Afrique
tax,Health,Kim-Santos/Nathan Jones,Kim-Santos/Nathan Jones,Automated system-worthy migration,Lost,20,2021-09-28,2023-10-21,,Howard Ortiz,Jack Powers,Tony Galvan%,Tammy Thompson,Alicia Jenkins,,,EUR,55.861321288959495,55.861321288959495,tax,E61159139,E61159139-62,GPS,GCR,Russie,Europe
sat,startup,Brown Group/Mark Lamb,Brown Group/Mark Lamb,Profit-focused executive attitude,Won,100,2021-01-06,2022-01-30,2022-12-01 00:00:00,Joshua Haynes,Vickie Johnson,Daniel Reed III%,Gregory Wood,Donald Smith,approved,,USD,90.79783169471801,90.79783169471801,sat,E62268327,E62268327-63,Private,EY-P,Arabie saoudite,Asie
tax,Health,Smith PLC/Denise Washington,Smith PLC/Denise Washington,Optimized client-driven synergy,Declined,5,2022-03-04,2023-12-25,,Brian Campbell,Ryan Anderson,Marcus Green%,Jennifer Nunez,Jennifer Russell,,,EUR,98.71783076496865,98.71783076496865,tax,E67526740,E67526740-64,GPS,BTS,Russie,Europe
sat,Infrastructure,"Parsons, Jones and Villarreal/Eric Reed","Parsons, Jones and Villarreal/Eric Reed",Configurable empowering middleware,Lost,5,2022-02-25,2023-11-01,,Karen Griffin,Alan Brown,Justin Simpson%,Amber Everett,Jacqueline Davis,,,EUR,77.13458496893743,77.13458496893743,sat,E65909030,E65909030-65,GPS,Transactions & Corporate Finance,Belgique,Europe
tax,Wealth & Asset Management,Smith-Parks/Troy Crawford,Smith-Parks/Troy Crawford,Customer-focused mission-critical circuit,Won,20,2022-05-12,2023-10-12,2023-12-07 00:00:00,Haley Howard,Kelly Villegas,Brittney Johnson%,Daniel Cox,Shannon Giles,approved,,USD,97.67037863678311,97.67037863678311,tax,E68251568,E68251568-66,FS,International Tax Transaction Services,Kenya,Afrique
sat,Media & Entertainment,Shelton-Miller/Monica Fields,Shelton-Miller/Monica Fields,Focused hybrid initiative,Won,20,2021-02-11,2021-08-08,2021-10-26 00:00:00,Kathryn Cooley,Tonya Johnson,Joseph Sheppard%,Randall Simmons,Justin Peterson,approved,,USD,78.8821446583819,78.8821446583819,sat,E69049670,E69049670-67,TMT,Transactions & Corporate Finance,Soudan,Afrique
consulting,Media & Entertainment,"Bruce, Flowers and Villa/Nicole Lynch","Bruce, Flowers and Villa/Nicole Lynch",Expanded bifurcated strategy,Closing,5,2022-03-26,2021-11-20,,Kenneth Miller,Joseph Reed,Brandon Villarreal%,Jennifer Cruz,Joseph Brown,,,USD,68.968173478702,68.968173478702,consulting,E66307103,E66307103-68,TMT,Sustainability,Émirats arabes unis,Asie
sat,Health,"Hernandez, Holt and Harris/Aaron Murray","Hernandez, Holt and Harris/Aaron Murray",Decentralized 24/7 pricing structure,Lost,5,2021-11-04,2023-03-03,,John Jensen,Michael Green,Theresa Shannon%,Heather Cook,Marissa Taylor,,,USD,52.5368240827366,52.5368240827366,sat,E62913575,E62913575-69,GPS,Transactions & Corporate Finance,Soudan,Afrique
tax,Media & Entertainment,Gonzalez Inc/Matthew Anderson,Gonzalez Inc/Matthew Anderson,Customizable next generation flexibility,Identify,15,2021-06-03,2022-11-12,,Kaitlyn Hernandez,Michael Morris,Megan Garcia%,Victoria Schultz,Courtney Austin,,,USD,63.05160240258003,63.05160240258003,tax,E67158807,E67158807-70,TMT,GCR,Gabon,Afrique
sat,Media & Entertainment,Sanchez-Ellis/Dr. Mckenzie Duke,Sanchez-Ellis/Dr. Mckenzie Duke,Diverse optimizing structure,Declined,100,2022-10-23,2021-10-12,,David Williams,Sandra Huang,Gina Peters%,Anthony Lee,Denise Matthews,,,EUR,83.39939391383123,83.39939391383123,sat,E65744807,E65744807-71,TMT,Transactions & Corporate Finance,Danemark,Europe
tax,startup,Carroll Inc/Emily Moore,Carroll Inc/Emily Moore,Open-source encompassing collaboration,Declined,100,2023-03-08,2022-10-27,,Robert Erickson,Sonya Taylor,Pamela Holland%,Sandra Estrada,Kara Phillips,,,USD,67.34505540248736,67.34505540248736,tax,E62207823,E62207823-72,Private,International Tax Transaction Services,Émirats arabes unis,Asie
sat,Telecommunications,Dixon PLC/Scott Roberts,Dixon PLC/Scott Roberts,Universal empowering Local Area Network,Pursue,40,2022-03-22,2022-10-30,,Ashley Drake,Brian Wallace,Brenda Reeves%,Denise Martinez,Dylan Solis,,,USD,99.52050813989854,99.52050813989854,sat,E64685756,E64685756-73,TMT,Transactions & Corporate Finance,Comores,Afrique
