OpportunityServiceLine,ClientSector,AccountName,ProspectClientName,OpportunityName,Stage,ProbaOfWin,EffectiveOpenDate,AnticipatedWinDate,EffectiveCloseDate,OpportunityPartnerName,PursuitLeaderName,ManagedByName,PursuitTeamName,IdentifiedByName,PACEStatus,RelatedEngagements,Currency,TotalValueOfPotentialSale,TotalValueTND,OpportunitySubSL,OriginalOpportunityID,OpportunityID,MS,SSL1,Country,Region
sat,Telecommunications,Griffin-Garcia/Teresa Krause,Griffin-Garcia/Teresa Krause,Assimilated 4thgeneration alliance,Pursue,55,2023-04-24,2023-07-04,,Daniel George,Eric Hill,Kimberly Morton%,Mindy Singh,Michael Marsh,,,USD,64.9810047171247,64.9810047171247,sat,E69846056,E69846056-28,TMT,Transactions & Corporate Finance,République démocratique du Congo,Afrique
consulting,startup,"Smith, Little and Garrison/Wanda Martinez","Smith, Little and Garrison/Wanda Martinez",Expanded non-volatile middleware,Won,5,2021-05-10,2022-04-04,2022-07-09,Jessica Moreno,Andrew Jones,William Craig%,Jessica Jimenez,Don Banks,approved,,USD,52.543478382820105,52.543478382820105,consulting,E63688164,E63688164-29,Private,Sustainability,Soudan,Afrique
assurance,Insurance,Smith Group/Charles Cooper,Smith Group/Charles Cooper,Centralized optimal pricing structure,Declined,100,2022-06-22,2022-09-13,,Paige Palmer,Krystal Buchanan,William Carey%,Lacey Ortega,Donna Hale,,,USD,77.30510989120768,77.30510989120768,assurance,E64514540,E64514540-30,FS,FAAS,Mauritanie,Afrique
assurance,Infrastructure,Murphy-Crawford/Michael Brooks,Murphy-Crawford/Michael Brooks,Customizable well-modulated implementation,Declined,100,2021-05-30,2021-09-16,,Shelly Chapman,David Gray,Kristopher Miller%,Amy Medina,Donald Wilson,,,EUR,79.96897608645111,79.96897608645111,assurance,E65603742,E65603742-31,GPS,Forensics,Lettonie,Europe
consulting,startup,Snyder-Murray/Angela Johnson,Snyder-Murray/Angela Johnson,Reverse-engineered zero-defect workforce,Lost,100,2023-12-01,2024-06-12,,Martin Weeks,Randy Jones,Scott Perkins%,Ian Smith,Kimberly Oneill,,,EUR,95.4197701351906,95.4197701351906,consulting,E61742622,E61742622-32,Private,Sustainability,République tchèque,Europe
sat,Telecommunications,"Lewis, Frost and Cox/John Larson","Lewis, Frost and Cox/John Larson",Devolved incremental infrastructure,Declined,5,2021-11-11,2022-01-03,,Christian Jackson,Amanda Mendoza,Ryan Horton%,Marc Owens,Vicki Holmes,,,USD,50.41353023889975,50.41353023889975,sat,E69564581,E69564581-33,TMT,Transactions & Corporate Finance,Éthiopie,Afrique
assurance,Insurance,"Simmons, Reese and Oconnor/Veronica Massey","Simmons, Reese and Oconnor/Veronica Massey",Monitored homogeneous toolset,Declined,5,2021-05-12,2021-07-31,,Beverly Randall,Calvin Brock,Jeffrey Santos%,Daniel Black,Melissa Kennedy,,,USD,91.95405000336724,91.95405000336724,assurance,E66132399,E66132399-34,FS,Forensics,Soudan,Afrique
sat,Health,Nelson and Sons/Joseph Frederick,Nelson and Sons/Joseph Frederick,Programmable local architecture,Declined,5,2021-07-17,2021-07-18,,David Horton,Meghan Buck,Monica Campos%,Eric Myers,Natalie Logan,,,USD,88.92899269037746,88.92899269037746,sat,E64437030,E64437030-35,GPS,EY-P,Congo Brazzaville,Afrique
sat,Telecommunications,Roberts-Brooks/Thomas Wilson,Roberts-Brooks/Thomas Wilson,Multi-tiered asymmetric frame,Pursue,65,2022-08-18,2022-08-30,,Christina Cooper,Brian Smith,Kimberly Newman%,Mark Singleton,Melissa Bryant,,,USD,56.75054165507517,56.75054165507517,sat,E69904633,E69904633-36,TMT,Transactions & Corporate Finance,Angola,Afrique
consulting,Media & Entertainment,"Newton, Cortez and Anderson/Joel Hays","Newton, Cortez and Anderson/Joel Hays",Multi-channeled human-resource system engine,Identify,10,2021-02-03,2021-08-23,,John Harrison,Jennifer Mcknight DVM,Sydney Carney%,James Ortega,Mary Buck,,,EUR,56.80059931540449,56.80059931540449,consulting,E67567614,E67567614-37,TMT,Cybersecurity,Lettonie,Europe
assurance,startup,Garcia and Sons/Richard Turner,Garcia and Sons/Richard Turner,Mandatory cohesive pricing structure,Qualify,50,2022-10-01,2023-06-11,,Kristopher Moody,Marcus Hall,Steven Newman%,Emma Whitaker,Christopher Anderson,,,USD,83.0238864083603,83.0238864083603,assurance,E63720849,E63720849-38,Private,FAAS,Algérie,Afrique
consulting,Insurance,"Rodriguez, Gray and Todd/Lisa Nguyen","Rodriguez, Gray and Todd/Lisa Nguyen",Open-architected encompassing functionalities,Declined,5,2023-05-20,2023-11-20,,Herbert Jacobson,Phillip Dillon,Zachary Parks%,Alexa Kim,David Miranda,,,USD,83.20733664009995,83.20733664009995,consulting,E62855598,E62855598-39,FS,Sustainability,Sénégal,Afrique
tax,Insurance,"Santos, Jimenez and Bryant/Ethan Medina Jr.","Santos, Jimenez and Bryant/Ethan Medina Jr.",Multi-lateral composite capability,Identify,20,2023-05-31,2023-06-10,,Carol Jimenez,Michael Nunez,Dawn Schmidt%,Anthony Bryant,Christopher Martinez,,,USD,96.78069336998212,96.78069336998212,tax,E68056358,E68056358-40,FS,PAS,Guinée,Afrique
tax,Technology,Adams-Kim/Miss Elizabeth Bryant MD,Adams-Kim/Miss Elizabeth Bryant MD,Programmable mobile migration,Declined,5,2022-01-05,2022-05-21,,Edward Gibson,Ashlee Caldwell MD,Micheal Garcia%,Matthew Francis,Michael House,,,EUR,60.08763592706764,60.08763592706764,tax,E69382315,E69382315-41,TMT,International Tax Transaction Services,Russie,Europe
consulting,Media & Entertainment,Perez-Vasquez/Alyssa Harris,Perez-Vasquez/Alyssa Harris,Open-architected even-keeled model,Pursue,45,2023-11-08,2024-03-09,,Frank Nelson,David Lee,Alicia Martin%,Anthony Mcdaniel,Alexandra Peters,,,USD,94.34738907376436,94.34738907376436,consulting,E68436767,E68436767-42,TMT,Strategy & Transformation,Burkina Faso,Afrique
assurance,Telecommunications,"Wilson, Garcia and Nelson/Jonathan Fernandez","Wilson, Garcia and Nelson/Jonathan Fernandez",Synchronized system-worthy neural-net,Pursue,55,2022-10-01,2022-12-17,,Timothy Richard,Albert Johnson,Sarah Chan%,Anna Mcpherson,Victoria Castro,,,USD,97.95917487510845,97.95917487510845,assurance,E63845922,E63845922-43,TMT,FAAS,Gabon,Afrique
consulting,startup,Williams-Clements/Sydney Hernandez,Williams-Clements/Sydney Hernandez,Face-to-face systematic paradigm,Pursue,70,2022-12-12,2023-08-20,,Nathan Acosta,Anthony Burton,Jason Coleman%,Stephen Perkins,Leah Thompson,,,USD,83.25673945433886,83.25673945433886,consulting,E68881692,E68881692-44,Private,Technology,Madagascar,Afrique
sat,Wealth & Asset Management,"Hart, Miller and Baldwin/Jessica Weeks","Hart, Miller and Baldwin/Jessica Weeks",Adaptive actuating initiative,Qualify,45,2022-06-03,2023-02-11,,Kevin Moore,Robert Dunn,Daniel Mayer%,Terri Bowman MD,Kelly Perez,,,USD,85.92655038489576,85.92655038489576,sat,E68650325,E68650325-45,FS,EY-P,Djibouti,Afrique
sat,Wealth & Asset Management,"Baxter, Scott and Frye/Ebony Hanna","Baxter, Scott and Frye/Ebony Hanna",Advanced didactic paradigm,Lost,5,2023-04-22,2023-10-13,,Jamie Ponce,Patricia Gordon,Brian Rodriguez%,Daniel Marquez,Emily Hansen,,,USD,66.60173336122814,66.60173336122814,sat,E67741112,E67741112-46,FS,Transactions & Corporate Finance,Égypte,Afrique
consulting,Insurance,Nguyen-Clarke/Annette Romero,Nguyen-Clarke/Annette Romero,Virtual leadingedge hub,Pursue,40,2021-09-28,2022-07-10,,Mr. Nicholas Tucker,Nancy Dorsey,James Peters%,Nichole Webb,Jason Edwards,,,USD,96.7699612086083,96.7699612086083,consulting,E62412515,E62412515-47,FS,Risk,Angola,Afrique
tax,Banking & Capital Markets,"Vasquez, Martin and Arellano/David Bates","Vasquez, Martin and Arellano/David Bates",Visionary analyzing hub,Closing,5,2022-01-23,2022-05-08,,Kelly Green,Ashley Mccarthy,Kristin Walker%,Michael Gibson,Colleen Smith,,,USD,99.46217420969744,99.46217420969744,tax,E65606019,E65606019-48,FS,PAS,Togo,Afrique
assurance,startup,Coleman-Sweeney/Maria Wells,Coleman-Sweeney/Maria Wells,Object-based bi-directional firmware,Qualify,30,2021-04-09,2022-01-18,,Lisa Peterson,Daniel Maxwell,Jackie Lewis%,Donald Chaney,Elizabeth Hardy,,,USD,55.70475204815224,55.70475204815224,assurance,E64300843,E64300843-49,Private,Audit & Governance,Mauritanie,Afrique
tax,Media & Entertainment,Cruz-Vang/Cynthia Edwards,Cruz-Vang/Cynthia Edwards,User-friendly methodical open architecture,Qualify,25,2021-10-20,2022-04-07,,Amanda Hull,Kelly Reese,Stephanie Dougherty%,Kristy Wells,Ryan Schneider,,,USD,69.06198663720214,69.06198663720214,tax,E69229746,E69229746-50,TMT,Law,Pakistan,Asie
sat,Telecommunications,"May, Jensen and Cardenas/Sheila Phelps","May, Jensen and Cardenas/Sheila Phelps",Assimilated hybrid support,Qualify,25,2023-04-25,2024-04-16,,Steven Cruz,Hailey Watson,Dustin Jensen%,Stephen Turner,Dawn Barber,,,USD,96.03114943827585,96.03114943827585,sat,E65607121,E65607121-51,TMT,Transactions & Corporate Finance,Angola,Afrique
assurance,Insurance,Jenkins-Gardner/Matthew Rojas,Jenkins-Gardner/Matthew Rojas,Pre-emptive local info-mediaries,Qualify,50,2022-09-02,2023-03-26,,Jennifer Wright,Jennifer Fuentes,Paul Hall%,Judith Fields,Kevin Peterson,,,TND,67.86206898547377,67.86206898547377,assurance,E65512784,E65512784-52,FS,Forensics,Tunisie,Tunisia
consulting,Defense,"Hall, White and Dean/Jesus Keller","Hall, White and Dean/Jesus Keller",Fully-configurable contextually-based archive,Declined,100,2022-05-05,2022-05-07,,Stephanie Hart,Michael Shaw,Shawn Richards%,Austin Santana,Melissa Smith,,,USD,63.83827071320209,63.83827071320209,consulting,E63111631,E63111631-53,GPS,Customer & Growth,Égypte,Afrique
sat,Health,"Mcintyre, Lewis and Merritt/David Gross DDS","Mcintyre, Lewis and Merritt/David Gross DDS",Team-oriented reciprocal moratorium,Pursue,55,2022-03-15,2022-07-16,,Sarah Ward,Ryan Garcia,Heidi Simpson%,Paul Sanchez,Dawn Jones,,,USD,56.31605093671448,56.31605093671448,sat,E66201509,E66201509-54,GPS,Transactions & Corporate Finance,République démocratique du Congo,Afrique
assurance,Wealth & Asset Management,Simmons Group/Kathy Myers,Simmons Group/Kathy Myers,Robust disintermediate knowledge user,Won,5,2021-12-26,2022-08-06,2022-10-04,Michelle Baker,Dr. Stephen Thomas DDS,Calvin Ortiz%,Charles King,Virginia Zhang,approved,,USD,91.40142645521348,91.40142645521348,assurance,E63242141,E63242141-55,FS,Audit & Governance,Algérie,Afrique
assurance,Banking & Capital Markets,Newman Ltd/Michael Holmes,Newman Ltd/Michael Holmes,Organized tertiary analyzer,Won,5,2022-08-04,2022-08-11,2022-10-06,Scott Sanchez,Keith Miller,Ross Jones%,Jaime Bryant,Mr. Dylan Thomas Jr.,approved,,USD,90.54207425852042,90.54207425852042,assurance,E66909626,E66909626-56,FS,FAAS,Togo,Afrique
sat,Media & Entertainment,"Richard, Armstrong and Brown/Katherine Gardner","Richard, Armstrong and Brown/Katherine Gardner",Down-sized discrete complexity,Won,5,2023-04-03,2024-02-01,2024-02-20,Catherine Spencer,Daniel Neal,Stacey Wade%,John Jensen,Jason Watson,approved,,USD,90.22264616828748,90.22264616828748,sat,E65562212,E65562212-57,TMT,EY-P,Sao Tomé,Afrique
assurance,Infrastructure,"Roberts, Anderson and Barrera/Craig Davis","Roberts, Anderson and Barrera/Craig Davis",Intuitive dedicated adapter,Won,100,2023-06-06,2023-10-16,2024-01-05,Rebecca Baker,Allen Baker,Karen Mcclain%,Morgan Ellis,Tina Tucker,approved,,TND,57.63848718343444,57.63848718343444,assurance,E64497638,E64497638-58,GPS,CCaSS,Tunisie,Tunisia
assurance,Banking & Capital Markets,Gordon PLC/Nicholas Holt,Gordon PLC/Nicholas Holt,Realigned methodical help-desk,Won,5,2023-09-20,2024-03-18,2024-06-02,Andrew French,Zachary Weber,Angela Brown%,Alexander Davis,Mary Becker,approved,,EUR,54.20921741253113,54.20921741253113,assurance,E63202419,E63202419-59,FS,FAAS,Angleterre,Europe
tax,Technology,Bailey LLC/Alejandra Suarez,Bailey LLC/Alejandra Suarez,Versatile discrete help-desk,Declined,100,2023-05-28,2023-05-31,,Eric Lewis,Mary Anderson,Sherry Hutchinson%,William Kelley,Michael Harris,,,USD,88.15750132384744,88.15750132384744,tax,E69907837,E69907837-60,TMT,Indirect,Congo Brazzaville,Afrique
tax,Banking & Capital Markets,"Williams, Valencia and Brown/Benjamin Gibson","Williams, Valencia and Brown/Benjamin Gibson",Multi-layered full-range matrix,Identify,15,2023-11-06,2024-02-07,,Mrs. Sandra Smith,Pamela Flores,Julie Hensley%,Nathan Franklin,Susan Stafford,,,EUR,73.76382198527529,73.76382198527529,tax,E64613161,E64613161-61,FS,Law,Angleterre,Europe
sat,Banking & Capital Markets,"Wagner, Harding and Blake/Christian Hunt","Wagner, Harding and Blake/Christian Hunt",Cloned needs-based structure,Identify,15,2023-06-14,2024-03-21,,Mr. Antonio Diaz Jr.,Vanessa Pollard,Lauren Foster%,Jason Thomas,George Wilkerson,,,USD,54.49030079925438,54.49030079925438,sat,E69368779,E69368779-62,FS,Transactions & Corporate Finance,Togo,Afrique
consulting,Insurance,"Munoz, Silva and Alexander/Christine Houston","Munoz, Silva and Alexander/Christine Houston",Sharable attitude-oriented neural-net,Qualify,50,2021-11-26,2022-08-25,,Patrick Stevens,Douglas Adams,Johnny Allen%,Tim Davis,Gregory Garcia,,,TND,85.41239837577552,85.41239837577552,consulting,E62897770,E62897770-63,FS,Technology Assurance,Tunisie,Tunisia
tax,Defense,Wright LLC/Amy Berger,Wright LLC/Amy Berger,Open-source human-resource conglomeration,Closing,5,2021-08-20,2022-03-16,,Kristen Waters,Victoria Welch,Sarah Banks%,Courtney Young,Wendy Lyons,,,USD,77.10066329520137,77.10066329520137,tax,E62936597,E62936597-64,GPS,PAS,Algérie,Afrique
sat,Technology,"Bradley, Smith and Morgan/Katherine Roberts DDS","Bradley, Smith and Morgan/Katherine Roberts DDS",Upgradable attitude-oriented capacity,Qualify,30,2023-09-04,2023-11-28,,Andrew Miller,Jonathan Peterson,John Mason%,Joyce Lopez,Jennifer Anderson,,,USD,72.72583602312297,72.72583602312297,sat,E65632757,E65632757-65,TMT,Transactions & Corporate Finance,Congo Brazzaville,Afrique
sat,Infrastructure,Morris Inc/Carol Maxwell,Morris Inc/Carol Maxwell,Balanced real-time matrix,Identify,10,2022-05-27,2023-02-21,,Timothy Bates,Mary Todd,Jesse Sanchez%,Michael Gray,Jeffrey Powell,,,USD,59.521045145998336,59.521045145998336,sat,E66706860,E66706860-66,GPS,Transactions & Corporate Finance,République démocratique du Congo,Afrique
sat,Media & Entertainment,"Bates, Rodriguez and Knight/Andrew James","Bates, Rodriguez and Knight/Andrew James",Monitored holistic application,Lost,5,2022-02-04,2022-03-07,,Linda Johns,Michaela Short,Robert Hanson%,Adam Murray,Angela Cannon,,,USD,56.6342683801605,56.6342683801605,sat,E62727555,E62727555-67,TMT,EY-P,Qatar,Asie
assurance,startup,"Snyder, Duffy and Lara/Matthew Moore","Snyder, Duffy and Lara/Matthew Moore",Balanced user-facing throughput,Closing,100,2021-12-15,2022-05-30,,Christina Acosta,Christopher Taylor,Adam Lee%,Emily Mann,Stephanie Cruz,,,EUR,51.09342899136033,51.09342899136033,assurance,E68348967,E68348967-68,Private,Forensics,Espagne,Europe
assurance,Technology,Larsen and Sons/Charles Richardson,Larsen and Sons/Charles Richardson,Synergized fresh-thinking conglomeration,Won,20,2021-08-06,2022-04-29,2022-08-06,Sharon Lopez,Kristina Warner,Tracy Bridges%,Martha Anderson,Monica Santiago,approved,,USD,86.04717719928789,86.04717719928789,assurance,E61811752,E61811752-69,TMT,CCaSS,Émirats arabes unis,Asie
assurance,Health,"Long, Reeves and Garcia/Charles Hunter","Long, Reeves and Garcia/Charles Hunter",Multi-tiered 3rdgeneration middleware,Qualify,50,2023-09-05,2024-04-09,,Billy Davis,Dylan Wells,Michael Leon%,Kelly Holder,Brett Thomas,,,USD,61.95403733884914,61.95403733884914,assurance,E69596763,E69596763-70,GPS,Forensics,Lesotho,Afrique
assurance,Media & Entertainment,Williamson Group/Mrs. Jennifer Harris,Williamson Group/Mrs. Jennifer Harris,Enhanced well-modulated instruction set,Won,20,2021-05-15,2021-07-24,2021-10-15,Richard Rodriguez,Haley Cook,Karen Hale%,Tracey Cohen,Kelly Cruz,approved,,TND,83.06081910984147,83.06081910984147,assurance,E67884702,E67884702-71,TMT,Finance,Tunisie,Tunisia
tax,Wealth & Asset Management,"Peterson, Graham and Lyons/Elizabeth Roberts","Peterson, Graham and Lyons/Elizabeth Roberts",Enhanced well-modulated alliance,Closing,75,2021-09-06,2022-04-21,,Ann Bennett,Molly Mason,Lindsey Griffin%,Christopher Schultz,Jesse Blake,,,USD,93.20396899871945,93.20396899871945,tax,E61928820,E61928820-72,FS,BTS,Guinée,Afrique
